a, an	一个；一
abandon	放弃；抛弃
ability	能力；才能
able	能够的；有能力的
about	关于；大约
above	在…上面；超过
abroad	在国外；到国外
absolute	绝对的；完全的
absolutely	绝对地；完全
academic	学术的；大学的
accept	接受；同意
acceptable	可接受的；还不错的
access	进入；使用权
accident	事故；意外
accommodation	住宿；住处
accompany	陪伴；伴随
according	根据；按照
account	账户；描述
accurate	准确的；精确的
accuse	指责；指控
achieve	实现；达到
achievement	成就；成绩
acknowledge	承认；致谢
acquire	获得；习得
across	穿过；在对面
act	行动；表演
action	行动；行为
active	积极的；活跃的
activity	活动；行动
actor	男演员
actress	女演员
actual	实际的；真实的
actually	实际上；其实
ad	广告
adapt	适应；改编
add	添加；增加
addition	增加；加法
additional	额外的；附加的
address	地址；处理
administration	管理；行政
admire	钦佩；欣赏
admit	承认；允许进入
adopt	采用；收养
adult	成年人
advance	前进；进步
advanced	高级的；先进的
advantage	优势；好处
adventure	冒险；奇遇
advertise	做广告；宣传
advertisement	广告
advertising	广告业；广告
advice	建议；忠告
advise	建议；劝告
affair	事情；事务
affect	影响；感动
afford	负担得起；提供
afraid	害怕的；担心的
after	在…之后
afternoon	下午
afterwards	后来；之后
again	再一次；又
against	反对；靠着
age	年龄；时代
aged	…岁的；年老的
agency	代理机构；旅行社
agenda	议程；日程
agent	代理人；特工
aggressive	好斗的；积极进取的
ago	以前；之前
agree	同意；赞成
agreement	协议；同意
ah	啊；呀
ahead	在前面；提前
aid	帮助；援助
aim	目标；瞄准
air	空气；天空
aircraft	飞机；飞行器
airline	航空公司
airport	机场
alarm	警报；闹钟
album	相册；专辑
alcohol	酒精；酒
alcoholic	酒精的；酒鬼
alive	活着的；有活力的
all	全部的；所有
all right	好的；没问题
allow	允许；准许
almost	几乎；差不多
alone	独自的；单独的
along	沿着；一起
already	已经
also	也；而且
alter	改变；更改
alternative	替代的；选择
although	虽然；尽管
always	总是；一直
amazed	惊讶的；吃惊的
amazing	惊人的；太棒了
ambition	野心；抱负
ambitious	有野心的；雄心勃勃的
among	在…之中
amount	数量；总额
analyse	分析
analysis	分析
ancient	古代的；古老的
and	和；与
anger	愤怒；生气
